23,1,OE-05-2755,240002285,,,,NXVLFSP00L1190A5C17600,,,,,Laptop,,,,ACCENT MICRO TECHNOLOGIES INC / AMTI,,2025-01-01,,,,,2025-01-01,2025-01-01,2025-01-01,,,,,,,,,,,,2025-01-01,2025-01-01
24,1,OE-05-2756,240002286,,,,NXVLFSP00L1190A9C67600,,,3,,Laptop,,,,ACCENT MICRO TECHNOLOGIES INC / AMTI,,2025-01-01,,,,,2025-01-01,2025-01-01,2025-01-01,,,,,,,,,,,,2025-01-01,2025-01-01
25,1,,,,,,,,,5,,Server / Virtual Machine,,,,,,2025-01-01,,,,,2025-01-01,2025-01-01,2025-01-01,,,,,,,,,,,,2025-01-01,2025-01-01
26,1,OE-04-2305,,,,,FWF30D3X14001130,,,,,WiFi Router AP,,,,,,2025-01-01,,,,,2025-01-01,2025-01-01,2025-01-01,,,,,,,,,,,,2025-01-01,2025-01-01
27,1,OE-04-2311,,,,,FWF30D3X14001538,,,,,WiFi Router AP,,,,,,2025-01-01,,,,,2025-01-01,2025-01-01,2025-01-01,,,,,,,,,,,,2025-01-01,2025-01-01
28,1,OE-04-2310,,,,,FWF30D3X14001681,,,,,WiFi Router AP,,,,UNIVERSAL ACCESS & SYSTEMS SOLUTIONS INC / UAS,,2025-01-01,,,,,2025-01-01,2025-01-01,2025-01-01,,,,,,,,,,,,2025-01-01,2025-01-01
29,1,OE-04-1544,,,,,FWF30D3X14001811,,,,,WiFi Router AP,,,,UNIVERSAL ACCESS & SYSTEMS SOLUTIONS INC / UAS,,2025-01-01,,,,,2025-01-01,2025-01-01,2025-01-01,,,,,,,,,,,,2025-01-01,2025-01-01
30,1,OE-04-2032,,,,,FWF30D3X14002027,,,,,WiFi Router AP,,,,UNIVERSAL ACCESS & SYSTEMS SOLUTIONS INC / UAS,,2025-01-01,,,,,2025-01-01,2025-01-01,2025-01-01,,,,,,,,,,,,2025-01-01,2025-01-01
31,1,OE-04-2028,,,,,FWF30D3X14002599,,,,,WiFi Router AP,,,,UNIVERSAL ACCESS & SYSTEMS SOLUTIONS INC / UAS,,2025-01-01,,,,,2025-01-01,2025-01-01,2025-01-01,,,,,,,,,,,,2025-01-01,2025-01-01
32,1,OE-04-2180,,,,,FWF30D3X14002625,,,,,WiFi Router AP,,,,,,2025-01-01,,,,,2025-01-01,2025-01-01,2025-01-01,,,,,,,,,,,,2025-01-01,2025-01-01
33,1,OE-04-2318,,,,,FWF30D3X16001264,,,,,WiFi Router AP,,,,UNIVERSAL ACCESS & SYSTEMS SOLUTIONS INC / UAS,,2025-01-01,,,,,2025-01-01,2025-01-01,2025-01-01,,,,,,,,,,,,2025-01-01,2025-01-01
34,1,OE-04-2321,,,,,FWF30D3X16001754,,,,,WiFi Router AP,,,,UNIVERSAL ACCESS & SYSTEMS SOLUTIONS INC / UAS,,2025-01-01,,,,,2025-01-01,2025-01-01,2025-01-01,,,,,,,,,,,,2025-01-01,2025-01-01
35,1,OE-04-1545,,,,,FWF30D3X14001160,,,,,WiFi Router AP,,,,UNIVERSAL ACCESS & SYSTEMS SOLUTIONS INC / UAS,,2025-01-01,,,,,2025-01-01,2025-01-01,2025-01-01,,,,,,,,,,,,2025-01-01,2025-01-01
36,1,OE-04-2316,,,,,FWF30D3X16001837,,,,,WiFi Router AP,,,,UNIVERSAL ACCESS & SYSTEMS SOLUTIONS INC / UAS,,2025-01-01,,,,,2025-01-01,2025-01-01,2025-01-01,,,,,,,,,,,,2025-01-01,2025-01-01
37,1,OE-04-2319,,,,,FWF30D3X16002117,,,,,WiFi Router AP,,,,UNIVERSAL ACCESS & SYSTEMS SOLUTIONS INC / UAS,,2025-01-01,,,,,2025-01-01,2025-01-01,2025-01-01,,,,,,,,,,,,2025-01-01,2025-01-01
